OrderID,EmployeeID,CustomerName,Region,Product,OrderDate,Revenue,Cost,Department,City
FEB-001,E005,emma WATSON,East,Mouse,2025-02-22,6742.95,2939.78,Sales,Chennai
FEB-002,E010,  DAVID   CLARK,South,Tablet,2025-02-14,3371.8,2217.96,Marketing,Bangalore
FEB-003,E013,  JOHN SMITH ,West,Keyboard,2025-02-26,13519.17,7217.74,Marketing,Bangalore
FEB-004,E014,  bob WILSON,West,Monitor,2025-02-12,7577.86,5140.6,Marketing,Kolkata
FEB-005,E004,Catherine  lee,North,Headphones,2025-02-09,15965.29,11788.95,Marketing,Ahmedabad
FEB-006,E006,Catherine  lee,Central,Mouse,2025-02-04,16155.58,7939.26,Finance,Mumbai
FEB-007,E001,mary   jones,North,Headphones,2025-02-24,14796.42,8178.54,HR,Ahmedabad
FEB-008,E007,  bob WILSON,Central,Keyboard,2025-02-23,9540.86,5552.51,Marketing,Mumbai
FEB-009,E006,Catherine  lee,West,Mouse,2025-02-22,15720.23,10248.24,Sales,Ahmedabad
FEB-010,E009,emma WATSON,East,Mouse,2025-02-23,7434.83,3305.16,Finance,Pune
FEB-011,E011,  bob WILSON,West,Keyboard,2025-02-18,15505.88,7851.5,Marketing,Pune
FEB-012,E007,FRANK  miller,Central,Mouse,2025-02-15,9632.4,4573.42,HR,Kolkata
FEB-013,E013,Catherine  lee,South,Keyboard,2025-02-03,15276.35,10126.67,Sales,Ahmedabad
FEB-014,E004,mary   jones,South,Laptop,2025-02-08,17759.04,10903.09,Marketing,Mumbai
FEB-015,E008,  JOHN SMITH ,West,Monitor,2025-02-16,8994.79,4062.5,HR,Pune
FEB-016,E015,  JOHN SMITH ,North,Monitor,2025-02-26,17369.49,10096.63,Finance,Bangalore
FEB-017,E009,  DAVID   CLARK,South,Webcam,2025-02-26,9969.65,5841.18,Sales,Bangalore
FEB-018,E013,Catherine  lee,West,Headphones,2025-02-06,14154.83,8013.56,HR,Kolkata
FEB-019,E013,  bob WILSON,South,Webcam,2025-02-09,9598.09,6236.27,Operations,Chennai
FEB-020,E005,  bob WILSON,East,Mobile,2025-02-05,6468.92,4158.76,Operations,Bangalore
FEB-021,E002,emma WATSON,West,Mouse,2025-02-14,3933.99,2720.4,Finance,Kolkata
FEB-022,E015,emma WATSON,Central,Headphones,2025-02-01,17141.12,8647.94,Sales,Kolkata
FEB-023,E014,emma WATSON,West,Monitor,2025-02-08,7094.03,4043.42,HR,Kolkata
FEB-024,E006,  JOHN SMITH ,West,Webcam,2025-02-20,11011.85,7900.18,Marketing,Bangalore
FEB-025,E002,FRANK  miller,West,Webcam,2025-02-02,6902.34,3551.76,Marketing,Bangalore
FEB-026,E006,  JOHN SMITH ,East,Keyboard,2025-02-09,15523.66,8764.77,Finance,Pune
FEB-027,E006,ALICE Brown,South,Laptop,2025-02-08,5990.41,2438.89,Sales,Mumbai
FEB-028,E004,ALICE Brown,South,Mobile,2025-02-15,13491.97,9018.23,Finance,Chennai
FEB-029,E010,emma WATSON,Central,Tablet,2025-02-04,11680.27,8469.49,Sales,Hyderabad
FEB-030,E007,mary   jones,South,Monitor,2025-02-23,14587.21,10176.08,Sales,Delhi
FEB-031,E013,  DAVID   CLARK,Central,Mouse,2025-02-22,8558.56,4939.03,Sales,Pune
FEB-032,E001,ALICE Brown,West,Mobile,2025-02-12,12533.78,8648.9,Finance,Pune
FEB-033,E007,Catherine  lee,South,Keyboard,2025-02-15,9533.62,6252.71,HR,Kolkata
FEB-034,E006,emma WATSON,South,Keyboard,2025-02-08,14257.14,8546.41,Sales,Kolkata
FEB-035,E006,  DAVID   CLARK,North,Mouse,2025-02-16,6181.8,4198.93,Finance,Bangalore
FEB-036,E005,  bob WILSON,Central,Laptop,2025-02-03,6620.34,3589.88,Operations,Chennai
FEB-037,E012,  bob WILSON,West,Webcam,2025-02-03,7413.53,4014.73,Finance,Mumbai
FEB-038,E005,  DAVID   CLARK,Central,Webcam,2025-02-14,17949.47,10637.5,Operations,Ahmedabad
FEB-039,E012,mary   jones,West,Keyboard,2025-02-08,4809.84,2248.14,Operations,Hyderabad
FEB-040,E012,Catherine  lee,Central,Monitor,2025-02-24,10262.98,6707.93,Marketing,Chennai
