OrderID,EmployeeID,CustomerName,Region,Product,OrderDate,Revenue,Cost,Department,City
MAR-001,E002,ALICE Brown,South,Monitor,2025-03-06,7534.01,4880.58,Operations,Ahmedabad
MAR-002,E005,  JOHN SMITH ,North,Keyboard,2025-03-21,16026.92,9164.31,Sales,Bangalore
MAR-003,E010,FRANK  miller,East,Webcam,2025-03-11,5765.46,2409.86,Finance,Kolkata
MAR-004,E002,ALICE Brown,North,Webcam,2025-03-19,12441.69,5210.12,Finance,Delhi
MAR-005,E013,  bob WILSON,Central,Mobile,2025-03-04,11371.1,6204.76,Operations,Chennai
MAR-006,E013,Catherine  lee,Central,Webcam,2025-03-10,15902.5,11871.39,Finance,Kolkata
MAR-007,E010,ALICE Brown,Central,Mobile,2025-03-21,6165.38,3891.28,Sales,Chennai
MAR-008,E004,FRANK  miller,South,Mobile,2025-03-01,9127.76,5853.45,HR,Bangalore
MAR-009,E005,  bob WILSON,North,Keyboard,2025-03-23,15894.1,6753.61,Marketing,Hyderabad
MAR-010,E015,Catherine  lee,East,Monitor,2025-03-04,11168.44,6998.95,HR,Pune
MAR-011,E014,Catherine  lee,South,Laptop,2025-03-26,7614.18,5041.62,Sales,Bangalore
MAR-012,E008,FRANK  miller,North,Keyboard,2025-03-31,7083.69,4172.25,Finance,Pune
MAR-013,E002,  JOHN SMITH ,Central,Headphones,2025-03-20,6755.52,2918.14,Sales,Ahmedabad
MAR-014,E013,Catherine  lee,East,Laptop,2025-03-16,10784.46,5983.01,HR,Bangalore
MAR-015,E003,mary   jones,Central,Webcam,2025-03-16,8219.42,4246.63,Finance,Delhi
MAR-016,E014,  JOHN SMITH ,South,Headphones,2025-03-10,12938.75,6988.97,Operations,Kolkata
MAR-017,E008,  JOHN SMITH ,North,Keyboard,2025-03-04,17552.77,9504.15,Operations,Ahmedabad
MAR-018,E011,FRANK  miller,Central,Headphones,2025-03-07,10776.59,6659.09,Finance,Mumbai
MAR-019,E011,FRANK  miller,West,Monitor,2025-03-18,4965.2,2486.62,Sales,Hyderabad
MAR-020,E002,mary   jones,North,Monitor,2025-03-10,11262.59,6681.96,HR,Bangalore
MAR-021,E004,Catherine  lee,North,Mobile,2025-03-16,16989.8,8531.45,Finance,Bangalore
MAR-022,E007,ALICE Brown,West,Monitor,2025-03-18,5169.63,2412.74,Finance,Kolkata
MAR-023,E014,  JOHN SMITH ,North,Headphones,2025-03-30,14815.76,7311.73,Operations,Ahmedabad
MAR-024,E005,emma WATSON,East,Webcam,2025-03-15,11078.71,5769.72,HR,Bangalore
MAR-025,E008,  DAVID   CLARK,East,Monitor,2025-03-08,15840.19,8613.44,Marketing,Pune
MAR-026,E012,  DAVID   CLARK,West,Headphones,2025-03-16,17472.37,7760.99,Finance,Bangalore
MAR-027,E014,ALICE Brown,North,Mobile,2025-03-01,13836.66,7520.12,Finance,Kolkata
MAR-028,E002,emma WATSON,West,Mouse,2025-03-21,4204.73,2165.43,Operations,Pune
MAR-029,E006,  bob WILSON,West,Laptop,2025-03-08,12467.42,9005.53,HR,Delhi
MAR-030,E012,  JOHN SMITH ,North,Mobile,2025-03-15,5495.47,2774.19,Finance,Delhi
MAR-031,E001,emma WATSON,East,Keyboard,2025-03-12,9460.3,4592.68,Sales,Ahmedabad
MAR-032,E010,  bob WILSON,South,Tablet,2025-03-20,16062.59,9908.99,Marketing,Delhi
MAR-033,E008,  JOHN SMITH ,Central,Monitor,2025-03-21,6809.66,3332.4,Marketing,Kolkata
MAR-034,E015,Catherine  lee,West,Tablet,2025-03-15,17178.53,12809.65,Operations,Delhi
MAR-035,E011,mary   jones,West,Webcam,2025-03-07,17990.6,12569.45,Operations,Hyderabad
MAR-036,E004,emma WATSON,West,Mouse,2025-03-23,7428.46,5514,HR,Hyderabad
MAR-037,E005,  bob WILSON,North,Laptop,2025-03-27,16562.33,8283.95,HR,Kolkata
MAR-038,E010,ALICE Brown,East,Monitor,2025-03-22,14333.66,9583.7,Marketing,Hyderabad
MAR-039,E011,mary   jones,North,Keyboard,2025-03-02,11693.61,7674.82,Sales,Kolkata
MAR-040,E015,  DAVID   CLARK,East,Headphones,2025-03-07,4982.4,2933.6,Operations,Bangalore
